Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227854,711.456,1,OK,NaN,85.1119733,171.8684864,0.0000000,104.738,-5.059,-310.546,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227862,711.481,1,OK,NaN,85.0566087,171.9919638,-0.0000000,104.731,-5.786,-310.701,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227870,711.506,1,OK,NaN,84.9916231,171.8325461,0.0000000,104.893,-6.619,-310.562,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227878,711.531,1,OK,NaN,84.8814667,171.8429294,0.0000000,104.681,-7.840,-310.511,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227886,711.556,1,OK,NaN,84.9206024,171.8165367,0.0000000,105.034,-9.029,-310.405,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227894,711.581,1,OK,NaN,84.8355679,171.7188238,0.0000000,104.984,-9.137,-310.402,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227902,711.606,1,OK,NaN,84.7241660,171.6444705,-0.0000000,105.201,-10.317,-310.343,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227910,711.631,1,OK,NaN,84.6038443,171.6838404,0.0000000,105.250,-10.648,-310.210,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227918,711.656,1,OK,NaN,84.6039319,171.6690467,0.0000000,106.052,-11.386,-310.032,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227926,711.681,1,OK,NaN,84.4964754,171.7053813,0.0000000,106.200,-12.282,-309.875,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227934,711.706,1,OK,NaN,84.4935028,171.6487600,0.0000000,106.781,-12.909,-309.572,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227942,711.731,1,OK,NaN,84.3548018,171.6842764,0.0000000,107.040,-13.305,-309.473,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227950,711.756,1,OK,NaN,84.2738416,171.7142468,0.0000000,107.502,-14.700,-309.230,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227958,711.781,1,OK,NaN,84.1972468,171.6505219,-0.0000000,107.694,-14.631,-309.066,0.0000000,0
