Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214710,670.415,1,OK,NaN,86.1455063,174.2590942,0.0000000,124.180,3.724,-302.504,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214718,670.440,1,OK,NaN,86.2052504,174.2802543,-0.0000000,122.649,3.942,-302.245,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214726,670.465,1,OK,NaN,86.3611009,174.3051710,0.0000000,121.224,4.610,-302.397,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214734,670.490,1,OK,NaN,86.4713892,174.0830804,-0.0000000,119.737,5.420,-302.684,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214742,670.515,1,OK,NaN,86.5212331,173.8160475,0.0000000,118.128,6.115,-302.671,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214750,670.540,1,OK,NaN,86.5118698,173.9079130,-0.0000000,116.844,5.849,-302.944,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214758,670.565,1,OK,NaN,86.5482243,173.9205078,0.0000000,115.873,5.739,-303.072,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214766,670.590,1,OK,NaN,86.5091024,173.9128039,0.0000000,114.318,5.714,-303.238,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214774,670.615,1,OK,NaN,86.7000594,173.9882769,0.0000000,113.285,5.919,-303.229,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214782,670.640,1,OK,NaN,86.7441465,173.9982632,0.0000000,112.067,6.417,-303.167,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214790,670.665,1,OK,NaN,86.7616412,173.9112192,0.0000000,110.935,6.834,-303.174,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214798,670.690,1,OK,NaN,86.7967798,173.9647534,0.0000000,109.893,7.040,-303.313,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214806,670.715,1,OK,NaN,86.9473923,173.8742958,0.0000000,109.273,7.723,-303.454,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214814,670.740,1,OK,NaN,86.9725089,173.9336219,0.0000000,108.083,8.184,-303.434,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214822,670.765,1,OK,NaN,87.0550656,174.0704448,0.0000000,107.112,8.759,-303.675,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214830,670.790,1,OK,NaN,87.1174031,174.0049570,0.0000000,106.127,9.514,-303.312,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214838,670.815,1,OK,NaN,87.1483744,173.9088697,0.0000000,105.131,10.065,-303.370,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214846,670.840,1,OK,NaN,87.1999379,173.9525553,0.0000000,103.984,10.594,-303.330,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214854,670.865,1,OK,NaN,87.2767823,173.9183636,0.0000000,102.998,10.452,-303.227,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214862,670.890,1,OK,NaN,87.3122656,174.0253110,0.0000000,102.112,10.533,-303.516,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214870,670.915,1,OK,NaN,87.3082560,173.9632101,0.0000000,100.889,10.857,-303.180,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214878,670.940,1,OK,NaN,87.3260331,174.0055306,-0.0000000,99.863,10.955,-303.223,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214886,670.965,1,OK,NaN,87.3276564,173.9266149,0.0000000,98.786,11.037,-302.976,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214894,670.990,1,OK,NaN,87.3008023,173.9479656,0.0000000,97.711,10.830,-303.035,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214902,671.015,1,OK,NaN,87.3325055,173.8817674,-0.0000000,96.868,10.774,-302.892,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214910,671.040,1,OK,NaN,87.3075701,173.8642683,0.0000000,95.632,10.659,-302.937,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214918,671.065,1,OK,NaN,87.3548685,173.7895876,0.0000000,94.350,10.323,-302.673,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214926,671.090,1,OK,NaN,87.3497147,173.9104678,-0.0000000,93.091,10.428,-302.543,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214934,671.115,1,OK,NaN,87.3625047,173.8962748,0.0000000,92.302,10.539,-302.076,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214942,671.140,1,OK,NaN,87.2685648,173.9057688,0.0000000,90.976,10.269,-301.961,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214950,671.165,1,OK,NaN,87.3724929,173.6757140,0.0000000,89.847,11.080,-301.837,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214958,671.190,1,OK,NaN,87.3724297,173.7698205,-0.0000000,88.702,11.219,-301.728,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214966,671.214,1,OK,NaN,87.4789344,173.8057883,-0.0000000,87.718,10.934,-301.715,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214974,671.239,1,OK,NaN,87.5146947,173.8086983,0.0000000,86.405,11.196,-301.623,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214982,671.264,1,OK,NaN,87.5648290,173.6716704,0.0000000,85.263,11.005,-301.518,0.0000000,0
